Wall time,Step,Value
1690887786.7703412,1211784,337.1774597167969
1690887924.4396987,1214178,313.9669494628906
1690888170.2344134,1218905,253.93783569335938
1690888256.5719283,1220282,253.88092041015625
1690888526.443685,1225239,265.22845458984375
1690888633.294263,1227238,269.1461486816406
1690888663.9935873,1227984,268.2063293457031
1690888842.374375,1231107,254.29910278320312
1690888927.4594078,1233107,285.9001159667969
1690889424.1510615,1242274,242.93780517578125
1690889639.3893876,1245942,232.28248596191406
1690890537.0533085,1262227,284.1285705566406
1690890642.4061468,1264002,256.31536865234375
1690890719.0942698,1265503,260.78277587890625
1690890918.417713,1269099,250.1959228515625
1690891022.9038315,1270843,265.3688049316406
1690891135.215629,1273134,311.3798522949219
1690891500.0576258,1279485,270.3020324707031
1690891786.1583226,1284619,216.71392822265625
1690891928.5892613,1287107,192.32908630371094
1690891956.7191114,1287607,188.2747344970703
1690892153.2522926,1291156,219.6003875732422
1690892346.348544,1294619,226.9504852294922
1690892384.7230923,1295362,221.01754760742188
1690893411.2356765,1314645,157.10690307617188
1690893500.8652775,1316391,172.57350158691406
1690893524.2792404,1316891,182.36582946777344
1690893700.8368254,1320024,182.5403289794922
1690894994.291477,1343665,247.54859924316406
1690895180.57969,1346946,220.9361114501953
1690895208.4743903,1347446,224.08770751953125
1690895248.4104195,1348348,216.0900421142578
1690895317.175773,1349470,182.31405639648438
1690895342.90056,1349856,184.9713134765625
1690895762.3860931,1356654,122.65213012695312
1690895832.6125073,1357819,137.48028564453125
1690895891.3372662,1358645,140.50469970703125
1690896023.728443,1360727,149.14987182617188
1690896396.6966207,1368451,156.0746612548828
1690896442.3279831,1369199,130.3115234375
1690896449.8043149,1369200,124.42256927490234
1690896714.7359676,1374341,163.7277374267578
1690896996.9867487,1379071,199.84658813476562
1690897102.4024847,1381205,208.55491638183594
1690897324.2220166,1385198,213.44700622558594
1690897374.5422697,1386198,219.48126220703125
1690897597.5315511,1389986,199.96017456054688
1690897793.0161207,1393502,194.3472442626953
1690898240.9370472,1401900,238.2900848388672
1690898383.9424942,1404398,176.33558654785156
1690898669.4412239,1409933,185.48460388183594
1690898789.7626798,1412104,192.95310974121094
1690898878.0684,1413670,179.6360626220703
1690898968.603076,1415670,219.841552734375
1690899308.7337945,1422369,257.0005798339844
1690899350.519815,1423024,254.32858276367188
1690900103.335705,1437698,333.0034484863281
1690900399.7114742,1443439,367.35723876953125
1690900682.104148,1448204,311.84161376953125
1690900689.5551987,1448205,308.42236328125
1690901047.211147,1455440,320.55804443359375
1690901094.92294,1456186,319.51214599609375
1690901278.8621964,1460137,344.451904296875
1690901489.915394,1464434,295.54058837890625
1690901927.1215968,1472825,170.819580078125
1690901987.9300954,1474325,170.27902221679688
1690902234.4383047,1479168,143.77780151367188
1690902257.4250283,1479549,140.6522979736328
1690902287.385901,1479921,138.4251708984375
1690902808.0649858,1489732,150.4078369140625
1690903307.5835733,1499530,240.50485229492188
1690903443.433736,1502270,278.5169372558594
1690903534.6016228,1504270,326.9178771972656
1690903667.5249267,1506756,361.6175842285156
1690903860.2495725,1510639,385.84735107421875
1690904298.9651794,1519070,429.874267578125
1690904383.1826644,1520359,426.26666259765625
1690904651.7884648,1525055,370.9733581542969
1690904916.5974069,1529930,335.27471923828125
1690905060.1030452,1532679,315.4404602050781
1690905221.6970444,1536159,296.7154846191406
1690905375.3335268,1538791,287.77789306640625
1690905591.7991376,1543601,277.3332214355469
1690905599.2837386,1543602,277.3332214355469
1690905713.7686706,1545815,282.2969665527344
1690905827.6236703,1548193,261.71929931640625
1690905865.324363,1548694,260.555419921875
1690905922.8047426,1550098,284.0602111816406
1690906522.6455674,1561744,410.5567626953125
1690906721.1138995,1565040,443.3267517089844
1690907056.8489647,1571105,409.764404296875
1690907420.3987176,1577462,357.8858337402344
1690907778.5384743,1584044,374.377197265625
1690908202.2650437,1591569,297.3116760253906
1690908463.9060395,1596363,310.41998291015625
1690908600.1391225,1598909,346.5318603515625
1690908743.7468207,1601582,306.3690185546875
1690908780.0466697,1601931,302.2181701660156
1690908817.820003,1602659,302.42333984375
1690909713.0041308,1618161,278.13177490234375
1690909784.6855414,1619560,272.6570739746094
1690910200.3410769,1626849,278.16961669921875
1690910217.9920974,1627074,271.7755432128906
1690910248.2603524,1627574,274.68572998046875
1690910368.029702,1629502,252.63650512695312
1690910735.08339,1636049,307.02813720703125
1690911261.0931067,1644873,291.9142150878906
1690911654.2033956,1651190,268.1009826660156
1690911677.6354609,1651524,261.92816162109375
1690911813.531728,1653921,265.45355224609375
1690912274.859192,1661055,257.6871032714844
1690912352.3237824,1662138,225.26478576660156
1690912661.8877976,1667256,220.4148406982422
1690912995.0058982,1673246,287.3795471191406
1690913144.597399,1675878,306.4354553222656
1690913713.271497,1685978,355.6129455566406
1690914204.4803402,1694746,403.38409423828125
1690914634.2853742,1701605,392.8013000488281
1690915181.8064919,1711628,267.1697082519531
1690915388.3140612,1715613,332.864990234375
1690915668.6920266,1720304,335.17962646484375
1690915914.6241727,1724617,334.4949645996094
1690916306.4908562,1731232,339.98638916015625
1690917019.5063763,1743480,296.0361328125
1690917404.8530517,1750527,213.7049102783203
1690917488.4565976,1751888,209.55087280273438
1690918157.5645926,1764330,230.18222045898438
1690918353.9325264,1767745,240.90072631835938
1690918453.8533778,1769203,241.6038055419922
1690918686.0700853,1772913,275.44091796875
1690918739.157519,1773913,306.0812683105469
1690919356.7195642,1785584,405.8700866699219
1690919784.7887547,1793250,387.78973388671875
1690920008.2841089,1797647,398.876220703125
1690920050.9974968,1798577,385.8148498535156
1690920148.1938827,1800244,410.79949951171875
1690920362.0325797,1803956,398.1243896484375
1690920780.151734,1810991,359.63482666015625
1690921289.4315019,1820412,289.22515869140625
1690921328.4112914,1820913,294.5145263671875
1690921381.668792,1821987,259.4750671386719
1690921647.5779774,1826712,240.55282592773438
1690922387.5673025,1839270,257.2020263671875
1690922450.7353168,1840748,282.69683837890625
1690922781.498599,1846914,347.3320617675781
1690923109.6700284,1852693,335.9501953125
1690923401.0038474,1857606,337.3625183105469
1690923439.775156,1858175,338.65533447265625
1690923602.094076,1860879,325.7798767089844
1690923927.4870787,1867265,353.87066650390625
1690923934.958423,1867266,355.2463073730469
1690924310.1019516,1875255,470.899658203125
1690924376.413076,1876755,433.4211120605469
